No,Comment ID,Author,Original Comment,Cleaned Comment,Lexicon Sentiment,Lexicon Score,LLM Sentiment,LLM Model,Language,Ground Truth
34,UgyYXpLoj82NebfnGGJ4AaABAg,@MuhammadIlham-z8f4g,Memang lucu beruk Jatibening yang 1 ini wkwk,memang lucu beruk jatibening ini wkwk,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
35,UgwQUyEEehHhi6RVU9h4AaABAg,@soelo0620,energi nya kaga abis² wkwkwk,energi nya tidak abis wkwkwk,negatif,-3.0,netral,qwen/qwen-2.5-72b-instruct,id,
36,Ugzm53fV9c_7YqYZEOZ4AaABAg,@heygil5151,topi sampe miring begitu bang raditt😂,topi sampe miring bang raditt,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
37,UgwbYVNmO-S5F_HiTW54AaABAg,@FvckWeird,SORY LE STENGAH NONTON DULU. STREAMING LIVE RP LU DULU,sory le stengah nonton dulu streaming live rp kamu dulu,positif,3.0,netral,qwen/qwen-2.5-72b-instruct,id,
38,Ugz0aqnfQ20YChqZBGZ4AaABAg,@yandi123,"Jujur hampir sama kaya bang radit gua hhaa , hampir tiap hari kalo udh subuh walaupun nyenyak subuh² pasti kebangun matiin kipas lanjut tidur lagi hha",jujur hampir sama kaya bang radit gua hhaa hampir tiap hari kalau udh subuh walaupun nyenyak subuh bangun matiin kipas lanjut tidur hha,negatif,-18.0,netral,qwen/qwen-2.5-72b-instruct,id,
39,UgyoTx2Y6zFBXCRDNhZ4AaABAg,@enhyseung1467,lucu bgt ibott,lucu banget ibott,negatif,-1.0,netral,qwen/qwen-2.5-72b-instruct,id,
40,UgyDmHMPJXAZsQsW07F4AaABAg,@windanadya3869,Gondrong lawak co😂,gondrong lawak co,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
41,Ugwqr8OYCjuHNzWBTuh4AaABAg.AYB6mxHX0gJAYBhtgvfpGX,@RiKuRo0o,Setujuuu,setujuuu,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
42,UgwYLH14V-W-ISGvCPN4AaABAg,@MrMaytoros,DOTA KEREN tidak hny pencet2 kayak ML,dota bagus tidak hny pencet kayak ml,negatif,-10.0,netral,qwen/qwen-2.5-72b-instruct,id,
43,UgyHBKqUtrFDVHVel8h4AaABAg,@firsyaarafah,seruuu bgttt loveee❤❤❤,seruuu bgttt loveee,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
44,UgyIEBPx6_C7KgiqwaB4AaABAg,@mbnisa8392,Ketawa Capslok,ketawa capslok,positif,4.0,netral,qwen/qwen-2.5-72b-instruct,id,
45,UgwAHbzUrc2fZnFy-KV4AaABAg,@user-nv9xb7kk4q,3:20,,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
46,UgygS3JSHfr4mn7UpYl4AaABAg,@dyahekaa,Ibot bisa jadi side brother + 1 😂,ibot jadi side brother,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
47,Ugz7zb1ekbrOjegsla54AaABAg,@wenisafitri9916,bot alis lu mirip dilan dah😭,bot alis kamu mirip dil dah,negatif,-7.0,netral,qwen/qwen-2.5-72b-instruct,id,
48,UgyVrPglnaJtibzM6UB4AaABAg,@emanuelsatria2355,Kok bisa excited banget ngomongin tragedi lalu lintas 😂,excited banget ngomongin tragedi lalu lintas,negatif,-5.0,netral,qwen/qwen-2.5-72b-instruct,id,
49,UgxXc2osuxmqgyD8zht4AaABAg,@DELAmowkeycow,Susah ya bot jelasin macam2 tipe jatuh dari motor ke orang yang ga bisa naik motor.,susah bot jelasin macam tipe jatuh motor orang tidak naik motor,negatif,-14.0,netral,qwen/qwen-2.5-72b-instruct,id,
50,UgzgphzBvuLt2H2Lbop4AaABAg,@Fikarblackproject,ROLEXXXXX,rolexxxxx,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
51,UgwGG738oq5oE2VIcCd4AaABAg,@afkarakmal6800,next undang Niko bang,next undang niko bang,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
52,UgyosNOlQiHvZF0O90p4AaABAg,@TyasPramono-j1z,"Pas ibot cerita kepleset batu kecil di jalan, Radit gak paham karena emang dia gak pernah naik motor jadi gak relate wkwkk..",pas ibot cerita kepleset batu kecil jalan radit tidak paham emang tidak pernah naik motor jadi tidak relate wkwkk,negatif,-28.0,netral,qwen/qwen-2.5-72b-instruct,id,
53,Ugzun429cS4mdyXzHkl4AaABAg,@REDSnow96,Gw lebih setuju ibot Stay di GTA RP sih 😂,lebih tuju ibot stay gta rp,negatif,-3.0,netral,qwen/qwen-2.5-72b-instruct,id,
54,Ugy4otkmtBB5ZZ2s_GN4AaABAg,@MendezZudahberez,Suka bngtt ibott ketawanya candu,suka bngtt ibott ketawa candu,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
55,UgwSIj0wG0duaCm341x4AaABAg,@sandysmith7570,W ibottt,w ibottt,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
56,UgwT-cVrHFlXWjo_m714AaABAg,@pancakezz-y9c,beyyiiirrr,beyyiiirrr,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
57,Ugyji6ebLrGmccncpWV4AaABAg,@mildahayani7399,Ibot adalah aku kalau soal AC...27° no debat..yg pengen dingin pindah sana 🤣🤣,ibot aku kalau soal ac no debat ken dingin pindah sana,negatif,-7.0,netral,qwen/qwen-2.5-72b-instruct,id,
58,Ugy2hQj4Yrht89-jonx4AaABAg,@deaherdiana277,Duh ada si gon d alesandro dsini 😅,duh si gon d alesandro dsini,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
59,UgzPLgqb83x9MElka2R4AaABAg,@coinspirasidigital,Bang ayyo bang undang gua bang ke studio,bang ayyo bang undang gua bang studio,negatif,-1.0,netral,qwen/qwen-2.5-72b-instruct,id,
60,UgyZCHpy9hKaqxtS6ht4AaABAg,@ggbenio,3:43 4:18 5:23 7:04 9:36 11:10 12:08 13:53 15:58 17:33 24:35 25:17 30:23 31:28 34:40 36:12 36:55 43:43 44:53 46:06 46:23 48:30 50:48 52:09 54:44 56:25,,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
61,UgynWiZuR1gzSaOBkvV4AaABAg,@Lenka_43,Ibot sahabatnya si rusman dagu,ibot sahabat si rusman dagu,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
62,Ugw1oec1pRFjfqgj2GV4AaABAg,@rizkyarys1534,Anjir ibot random tapi lucu terus😂,anjir ibot random lucu terus,negatif,-9.0,netral,qwen/qwen-2.5-72b-instruct,id,
63,UgxhQMv5bAZkMaTj1CJ4AaABAg,@ginxx2085,.,,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
64,UgymW2MRa02TT60nv2t4AaABAg,@kevinalfioza,Lucu bet  ibott,lucu bet ibott,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
65,UgwwQG3CcPxnNelfAi54AaABAg,@RatnaSumedang-g9f,Ga nyangka seseru ini dia😂,tidak nyangka seru dia,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
66,UgyukMM5t5EGJ2zsEXt4AaABAg,@debbyutami-eq2vh,"Suka banget sma ibot,, dia lucuu apalagi ketawanya",suka banget sma ibot lucuu ketawa,positif,4.0,netral,qwen/qwen-2.5-72b-instruct,id,
67,Ugyt2uRYFqAoxBlVb9t4AaABAg,@ahmadmuhlisin8598,"Batu itu identik dgn yg gede bang ibot, harusnya kerikil atau pasir kek 19:41",batu identik yang gede bang ibot harus kerikil pasir kek,negatif,-17.0,netral,qwen/qwen-2.5-72b-instruct,id,
68,UgySMvyKdx1Dm4c_nhd4AaABAg,@WindyAdam-e9w,Kacau ini mah lucu banget,kacau mah lucu banget,negatif,-1.0,netral,qwen/qwen-2.5-72b-instruct,id,
69,UgwuyNLeptSdlozcVY54AaABAg,@rip.curl-id,"Sama kaya gua atur nya dari kaki ketika udah ga nyaman panas kaki keluar slimut ,ntar dingin make lagi wkwk",sama kaya gua atur nya kaki sudah tidak nyaman panas kaki keluar slimut ntar dingin make wkwk,negatif,-19.0,netral,qwen/qwen-2.5-72b-instruct,id,
70,UgzRb59MmVeLAm5syrt4AaABAg,@om.io.channel,"Bro, maen DOTA for fun aja, ini “mahjong”nya generasi kita.. gw jg baru start umur 40, sekarang udah 46 masih secandu itu tiap malam main wkwk",bro maen dota for fun ini mahjongnya generasi saya baru start umur sekarang masih candu tiap malam main wkwk,negatif,-11.0,netral,qwen/qwen-2.5-72b-instruct,id,
71,UgzHhKV8lu_-It5U6QZ4AaABAg,@rasyacuirass,proud of u bang berukkkk,proud of u bang berukkkk,positif,5.0,netral,qwen/qwen-2.5-72b-instruct,id,
72,Ugz9gfnWehvWQHl5tFR4AaABAg,@darrylmatthewww,ibot cocok sama aldi taher WWKWKWKWKWKWKWK,ibot cocok sama aldi taher wwkwkwkwkwkwkwk,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
73,UgwYaBjp_buUEKdPDnV4AaABAg,@DeviDevi-pr1tn,Pantas menang adu ngetik lawan jot.termyata S.COM😂😂😂,pantas menang adu ngetik lawan jot termyata s com,negatif,-17.0,netral,qwen/qwen-2.5-72b-instruct,id,
74,UgztI9izrzNZUGci_Dt4AaABAg,@KondorVallen,0:47 sama lagi 😅,sama,positif,3.0,netral,qwen/qwen-2.5-72b-instruct,id,
75,Ugz30k2ELa-0fg3d07B4AaABAg,@rdo5371,18:36 bang radit jalanan di indo ga semuanya aspal aja bang ada yang aspal ketutup pasir dan banyak kerikil yang sangat membahayakan pengendara motor,bang radit jalan indo tidak semua aspal bang aspal tutup pasir banyak kerikil yang sangat bahaya kendara motor,negatif,-28.0,netral,qwen/qwen-2.5-72b-instruct,id,
76,UgyFoHsCXi90Y9h7NMJ4AaABAg,@ALICyealetta,Bg radit sama ibot ketawa terus wkwkwk emg si ibot itu naturally funny😂😂😂😂,bg radit sama ibot ketawa terus wkwkwk emg si ibot naturally funny,positif,9.0,netral,qwen/qwen-2.5-72b-instruct,id,
77,UgzOHexF77VYCBmqrZ94AaABAg,@ridwannaq,ibot nge me'et njer gaje banget koawdkoawdkoawdkoawd,ibot nge me et njer gaje banget koawdkoawdkoawdkoawd,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
78,UgxLCkNiAh2Ih8pb8Gd4AaABAg,@arifwibisono4309,Pertahankan ketawa Lo bot...gw nonton Lo Krn mau liat ketawa Lo doang😂😂,tahan ketawa kamu bot nonton kamu mau liat ketawa kamu doang,positif,1.0,netral,qwen/qwen-2.5-72b-instruct,id,
79,UgxLdtdMTK9aHplmzfJ4AaABAg,@latifahhft,Seru banget cuy🤣🤣,seru banget cuy,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
80,Ugx_Vi0pWoOZ5ZqpnLV4AaABAg,@awuuo4574,"make nih ibot, lagi tinggi podcastt",make ibot tinggi podcastt,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
81,UgzXflBXXAUEW6YXF-14AaABAg,@deepsonya,19:15 susah yaa ceritain kepleset gara2 jalanan tidak halus dan ada yg lagi nyebrang sembarangan ke orang yg banyak duit dan selalu  naik mobil kemana-mana 😅😅😅,susah yaa ceritain kepleset gara jalan tidak halus ada lagi nyebrang sembarang orang banyak duit selalu naik mobil mana,negatif,-21.0,netral,qwen/qwen-2.5-72b-instruct,id,
82,Ugwn2hdj8VTd2BhnZDN4AaABAg,@monimon0831,mirip Bimbim Slank,mirip bimbim slank,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
83,Ugxe1TDZBMOKzBkr_Wx4AaABAg,@MasAdam-o8g,Ketawan banget ngarang nya 😅😅😅,tawan banget ngarang nya,positif,1.0,netral,qwen/qwen-2.5-72b-instruct,id,
84,Ugz8BFU3FNeqhiV2loJ4AaABAg,@Fadel_Kasim,"22:41 side brothers kasian isinya tierison itu udah lama banget youtube, tapi nggak tau kenapa dia rolenya support terus, pernah tuh dia hampir naik bareng eriko lim. Tepe lebih parah, sama sama youtuber tua tapi ga pernah kena spotlight sama sekali. Yuka sama niko nggak tau sih dia baru di streamingan/youtube",side brothers kasi isi tierison sudah lama banget youtube tahu rolenya support terus pernah hampir naik bareng eriko lim tepe lebih parah sama sama youtuber tua tidak pernah kena spotlight sama sekali yuka sama niko nggak tahu dia baru streamingan youtube,negatif,-24.0,netral,qwen/qwen-2.5-72b-instruct,id,
85,UgyxQBtTUMhe2ZzmSqV4AaABAg,@ReshaAnggraini,Hellowww ibot taherrrrrr😂,hellowww ibot taherrrrrr,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
86,UgzdyJ84mEMN1udEv4l4AaABAg,@hendraefendy7702,"Wkwkwkwk 03:04 knp jd
S 74 NK
ABIT-ABIT
KAYANG JUNGKEL⁴*⁹",wkwkwkwk jadi s nk abit abit kayang jungkel,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
87,UgxG1TMVQQj5mVKOZed4AaABAg,@mujibussyakirin4859,Asik jugaa sungkang ni,asik jugaa sungkang ni,positif,4.0,netral,qwen/qwen-2.5-72b-instruct,id,
88,UgwklVRg67_pajWITip4AaABAg,@not_ur_type3,lulusan sma9 trnyata ibot dket rumah gw tu 31:59,lulus sma trnyata ibot dket rumah tu,positif,8.0,netral,qwen/qwen-2.5-72b-instruct,id,
89,UgxiZgDrNm-bYGAZOWJ4AaABAg,@Fidelistitan,https://youtu.be/V-2if7vX7UA?si=4akIPwzplq3pufRx,,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
90,UgxsK-BzYS4DvNET6Mh4AaABAg,@nolaaprilia5770,seru bgt ibot HAHAHA,seru banget ibot hahaha,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
91,Ugw5OAqAQVB4CRMLla54AaABAg,@rastamsengklek967,mntap,mntap,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
92,UgwKktklBvx_7wuTikh4AaABAg,@febrynduts0173,Ebottt ebottt ebottttt🎊🎊🤪🤪🤪,ebottt ebottt ebottttt,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
93,UgxcBte0YpTwJyMFYlJ4AaABAg,@GalaMaverick,Penasaran bgt hasil get contact nya tepe apa ya😂🤣,penasaran banget hasil get contact nya tepe apa,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
94,UgyOibSapxgz8SHVaNZ4AaABAg,@dinifitriani6802,"Ibot ni lucu bgt anjir, naturally funny😭",ibot ni lucu banget anjir naturally funny,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
95,Ugzwqp59--2eNa4K39V4AaABAg,@intansetiawati621,capek ketawa jirr😂,capek ketawa jirr,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
96,Ugw5JeSn1ObaQRsvgSV4AaABAg,@subastiyanabdillah4347,Ini kenapa tempo ngobrolnya cepet banget ya😑,kenapa tempo ngobrolnya cepet banget,negatif,-1.0,netral,qwen/qwen-2.5-72b-instruct,id,
97,UgxU5RnsiHqt7PgDUFh4AaABAg,@aamofficial7002,plenger juga ni orangg wkwk,plenger ni orangg wkwk,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
98,UgyyO1cKHt7qtvf7Hbp4AaABAg,@dimitaral2549,"Ibot tipe org yg bikin betah di tongkrongan, losssss.... dolllll apa adanya....",ibot tipe org buat betah tongkrong losssss dolllll apa ada,negatif,-4.0,netral,qwen/qwen-2.5-72b-instruct,id,
99,UgwoPf4xi5FxMVPIiEl4AaABAg,@badboiloko,👍🏼,,netral,0.0,netral,qwen/qwen-2.5-72b-instruct,id,
100,Ugw6-445N9ej5SaT8Uh4AaABAg,@mjd565,6:48 bot itu endors loh wkwk,bot endors loh wkwk,negatif,-2.0,netral,qwen/qwen-2.5-72b-instruct,id,
